station_id,completed_trips,final_missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage
1a,56,0,41,2022-05-05,underused,56,67,36
1b,28,0,48,2022-05-05,underused,28,46,27
2,55,0,42,2022-05-05,underused,55,67,49
3,58,0,29,2022-05-05,underused,58,57,56
4,33,0,35,2022-05-05,underused,33,38,54
5,61,0,20,2022-05-05,underused,61,51,85
6,66,0,23,2022-05-05,underused,66,59,97
7,0,0,30,2022-05-05,underused,0,0,100
8,162,0,41,2022-05-05,always_full,162,173,36
9,60,0,25,2022-05-05,underused,60,55,100
10,37,0,37,2022-05-05,underused,37,44,31
11,47,0,42,2022-05-05,underused,47,59,67
12,104,0,28,2022-05-05,always_full,104,102,62
13,62,0,37,2022-05-05,underused,62,69,21
14,56,0,36,2022-05-05,underused,56,62,34
15,54,0,30,2022-05-05,underused,54,54,81
16,62,0,32,2022-05-05,underused,62,64,78
17,57,0,27,2022-05-05,underused,57,54,67
18,93,0,42,2022-05-05,always_full,93,105,60
22,55,0,27,2022-05-05,underused,55,52,90
23,0,0,30,2022-05-05,underused,0,0,100
26,169,0,28,2022-05-05,always_full,169,167,60
24,57,0,26,2022-05-05,underused,57,53,77
25a,11,0,31,2022-05-05,underused,11,12,37
25b,8,0,34,2022-05-05,underused,8,12,38
27,95,0,18,2022-05-05,always_full,95,84,100
28,70,0,31,2022-05-05,underused,70,71,41
29,53,0,32,2022-05-05,underused,53,55,28
30,47,0,36,2022-05-05,underused,47,53,31
31,33,0,28,2022-05-05,underused,33,31,91
32,0,0,30,2022-05-05,underused,0,0,100
36,65,0,33,2022-05-05,underused,65,68,95
33,35,0,40,2022-05-05,underused,35,45,33
34,94,0,36,2022-05-05,always_full,94,100,78
35,45,0,33,2022-05-05,underused,45,48,80
40,64,0,31,2022-05-05,underused,64,65,99
37,105,0,42,2022-05-05,always_full,105,117,43
38,77,0,36,2022-05-05,always_full,77,83,48
39,151,0,29,2022-05-05,always_full,151,150,57
45,124,0,30,2022-05-05,always_full,124,124,67
41,111,0,30,2022-05-05,always_full,111,111,67
42,86,0,33,2022-05-05,always_full,86,89,63
43,44,0,28,2022-05-05,underused,44,42,66
44,71,0,34,2022-05-05,underused,71,75,60
46,60,0,31,2022-05-05,underused,60,61,70
47,52,0,32,2022-05-05,underused,52,54,67
48,86,0,24,2022-05-05,always_full,86,81,98
49,68,0,24,2022-05-05,underused,68,62,99
50,57,0,34,2022-05-05,underused,57,61,49
51,73,0,31,2022-05-05,underused,73,74,39
52,59,0,34,2022-05-05,underused,59,63,71
53,155,0,19,2022-05-05,balanced,155,144,56
58,84,0,40,2022-05-05,always_full,84,94,43
54,105,0,33,2022-05-05,always_full,105,108,75
55,0,0,30,2022-05-05,underused,0,0,100
59,149,0,30,2022-05-05,balanced,149,149,60
56,20,0,30,2022-05-05,underused,20,20,71
57,27,0,30,2022-05-05,underused,27,27,58
60,94,0,21,2022-05-05,always_full,94,85,49
61,74,0,23,2022-05-05,always_full,74,67,32
62,72,0,21,2022-05-05,underused,72,63,63
63,62,0,25,2022-05-05,underused,62,57,33
65,55,0,38,2022-05-05,underused,55,63,33
